Epoch,training_0.005,val_0.005,training_0.0005,val_0.0005,training_5e-05,val_5e-05
0,2.3001629916989073,2.318559670448303,1.9015938943746138,1.7962654113769532,1.98174457160794,1.8786452889442444
1,2.3245634302801017,2.3046422481536863,1.670530888499046,1.5821923732757568,1.8246163494732914,1.7649121046066285
2,2.306758218882035,2.3096343994140627,1.4904720102037703,1.4734137058258057,1.7207009062475087,1.6688259840011597
3,2.3073273872842592,2.3096372365951536,1.3649975110073478,1.3547775387763976,1.6420197754490131,1.6142845511436463
4,2.307901615999183,2.3051388025283814,1.2544058901923043,1.3307179927825927,1.5878433110762615,1.5684839606285095
