Epoch,training_0.005,val_0.005,training_0.0005,val_0.0005,training_5e-05,val_5e-05
0,5.228698010347327,5.171171736717224,4.911536292153961,4.646011900901795,5.092563042835313,4.977595973014831
1,5.221245697566441,5.240478539466858,4.38300566284024,4.143978703022003,4.906296250771503,4.794676995277404
2,5.197235832408983,5.170317196846009,3.9714247438372396,3.831872081756592,4.718824797747087,4.618843340873719
3,5.183279901134725,5.172148132324219,3.6847363418462327,3.6049109220504763,4.531213166762371,4.402879512310028
4,5.17254612883743,5.147209000587464,3.476926965372903,3.5184608340263366,4.347618205206735,4.26374968290329
