Epoch,training_0.005,val_0.005,training_0.0005,val_0.0005,training_5e-05,val_5e-05
0,2.256774163246155,2.146041862666607,2.088636326789856,1.989331442862749,2.106005996465683,2.0305605344474316
1,2.157012605667114,2.126262217760086,1.952086853981018,1.9458901137113571,2.0043856739997863,1.9679745137691498
2,2.1544474840164183,2.13820680975914,1.8516744256019593,1.819508757442236,1.9635846495628357,1.9482194520533085
3,2.2799344778060915,2.37079319357872,1.7580350279808044,1.7392601184546947,1.921425849199295,1.9080646820366383
4,2.350353789329529,2.3281328603625298,1.679898601770401,1.7040449567139149,1.8833555638790132,1.8765785284340382
